date,credit,gdp,credit_yoy,gdp_yoy,ratio,trend,gap,GDP_Growth,Interest_Rate
2012-04-01,2870754971000000.0,1918338315300000.0,33.09637290064585,6.104384802796603,149.6480025501162,149.8194085871206,-0.1714060370044023,6.104384802796603,5.88333333333333
2012-07-01,2986795757000000.0,1945632189000000.0,27.077698355535883,6.005547927046906,153.51286712290306,152.75642223960577,0.7564448832972914,6.005547927046906,5.65666666666667
2012-10-01,3171738856000000.0,1972796753300000.0,26.252584875765294,5.945682308555145,160.77372647204874,155.69301038110538,5.080716090943355,5.945682308555167,5.74333333333333
2013-01-01,3223152900000000.0,1999894976400000.0,21.282443813317407,5.79685225884361,161.1661081224365,158.62831349243484,2.537794630001656,5.79685225884361,5.81666666666667
2013-04-01,3449382247000000.0,2025976883200000.0,20.1559269894233,5.611031539197864,170.25772976993463,161.56148475619975,8.696245013734881,5.611031539197864,5.71
2013-07-01,3721085900000000.0,2052236934200000.0,24.5845448681612,5.479182848778419,181.3185328647517,164.4916836994922,16.826849165259517,5.479182848778419,6.23666666666667
2013-10-01,3935961363000000.0,2078389006100000.0,24.09474870714261,5.35241416143708,189.3755861606316,167.41809159001693,21.95749457061467,5.35241416143708,7.28666666666667
2014-01-01,3923452695000000.0,2103220032300000.0,21.72716643383563,5.166524098480152,186.54504211380413,170.3399317626016,16.205110351202535,5.166524098480152,8.08666666666667
2014-04-01,4146169919000000.0,2129006061500000.0,20.200361169192284,5.085407397998876,194.7467409312493,173.2564824458103,21.49025848543903,5.085407397998876,8.52666666666667
2014-07-01,4295311500000000.0,2154014976000000.0,15.431667406549266,4.95937092369283,199.40954672359717,176.1670623809834,23.24248434261375,4.95937092369283,9.34
2014-10-01,4450512703000000.0,2178625530200000.0,13.07307904079138,4.822798995077871,204.28075597697776,179.07104403510735,25.20971194187041,4.8227989950778705,9.07333333333333
2015-01-01,4493462196000001.0,2205429173200000.0,14.528262357448927,4.859650408912652,203.7454773249483,181.9678579813794,21.777619343568887,4.859650408912652,8.88666666666667
2015-04-01,4691826763000000.0,2230986326000000.0,13.160503661451608,4.790041059260752,210.3028023220614,184.85699781727672,25.44580450478469,4.790041059260752,8.45333333333333
2015-07-01,4842769106000000.0,2258581561200000.0,12.745469240123786,4.854496666229302,214.41639253563213,187.73801158432468,26.67838095130745,4.854496666229302,8.04666666666667
2015-10-01,4982180170000000.0,2287520039600000.0,11.946207155899469,4.9983123712868505,217.79831799292973,190.6105109385599,27.18780705436984,4.9983123712868505,7.96
2016-01-01,4954165689000000.0,2314840478500000.0,10.25275106153356,4.960998368460334,214.017585013472,193.47417423197132,20.54341078150065,4.960998368460334,7.87333333333333
